dyn_window_months,dyn_quantile,pe_window_years,band,base_position,trend_sensitivity,cheap_threshold,expensive_threshold,max_weight,period_years,start_date,end_date,total_return,annualized_return,volatility,sharpe_ratio,max_drawdown,calmar_ratio,benchmark_return,benchmark_ann_return,benchmark_volatility,benchmark_sharpe,benchmark_max_dd,excess_return,num_trades,avg_position
36,0.1,5,0.05,0.5,0.3,0.2,0.75,1.2,10,2016-01-31,2026-01-31,0.318131980558666,0.02848795497279788,0.06568760065509813,0.1292170042465863,-0.135977606962841,0.2095047530920504,0.6090332226225372,0.04955840609223339,0.17467737756900054,0.16921713906860844,-0.39922028638079654,-0.021070451119435507,50,0.23090381405172622
36,0.1,5,0.05,0.5,0.3,0.2,0.75,1.2,20,2006-01-31,2026-01-31,0.3411038166560827,0.014907999325168841,0.08822706801680648,-0.057714721675452,-0.28914212200854683,0.051559417291432104,3.396862327993081,0.07752504047745368,0.2757623533875921,0.20860367548648143,-0.7075419839491413,-0.06261704115228484,95,0.25100953514708885
36,0.1,5,0.05,0.5,0.3,0.2,0.8,1.2,10,2016-01-31,2026-01-31,0.33802238865329715,0.030055636074322933,0.06689142524478504,0.15032772941412076,-0.13671233596211307,0.21984582344238648,0.6090332226225372,0.04955840609223339,0.17467737756900054,0.16921713906860844,-0.39922028638079654,-0.019502770017910454,50,0.2474019601821272
36,0.1,5,0.05,0.5,0.3,0.2,0.8,1.2,20,2006-01-31,2026-01-31,0.37140354090345284,0.016051908145827243,0.09053460042749424,-0.043608651670524974,-0.2929808236592981,0.054788255235754625,3.396862327993081,0.07752504047745368,0.2757623533875921,0.20860367548648143,-0.7075419839491413,-0.061473132331626434,94,0.26614932477717873
36,0.1,5,0.05,0.5,0.3,0.2,0.85,1.2,10,2016-01-31,2026-01-31,0.34106750436039013,0.03029378949192285,0.06875845289440491,0.14970944020121327,-0.1402013526974918,0.21607344657570346,0.6090332226225372,0.04955840609223339,0.17467737756900054,0.16921713906860844,-0.39922028638079654,-0.019264616600310536,55,0.26057518648287764
36,0.1,5,0.05,0.5,0.3,0.2,0.85,1.2,20,2006-01-31,2026-01-31,0.4018003647344146,0.01717561756639885,0.09323375312249609,-0.030293561494733664,-0.29901059447511147,0.05744150168507987,3.396862327993081,0.07752504047745368,0.2757623533875921,0.20860367548648143,-0.7075419839491413,-0.06034942291105483,99,0.2779028354967692
36,0.1,5,0.05,0.5,0.3,0.25,0.75,1.2,10,2016-01-31,2026-01-31,0.31701767553323523,0.0283995027810533,0.06874653965482311,0.12218073554286898,-0.14097013784156376,0.20145757971075748,0.6090332226225372,0.04955840609223339,0.17467737756900054,0.16921713906860844,-0.39922028638079654,-0.02115890331118009,50,0.24408380012220396
36,0.1,5,0.05,0.5,0.3,0.25,0.75,1.2,20,2006-01-31,2026-01-31,0.3664452761777921,0.01586637083943021,0.09051121407285181,-0.04566980128277433,-0.29049797529548027,0.05461783622860613,3.396862327993081,0.07752504047745368,0.2757623533875921,0.20860367548648143,-0.7075419839491413,-0.06165866963802347,94,0.26136841139727
36,0.1,5,0.05,0.5,0.3,0.25,0.8,1.2,10,2016-01-31,2026-01-31,0.36403761208858487,0.03207475181074115,0.07071449166197875,0.17075356870921857,-0.1413158096117617,0.22697214061795654,0.6090332226225372,0.04955840609223339,0.17467737756900054,0.16921713906860844,-0.39922028638079654,-0.017483654281492234,49,0.26129505720338214
36,0.1,5,0.05,0.5,0.3,0.25,0.8,1.2,20,2006-01-31,2026-01-31,0.40906486738984804,0.01744074437814147,0.09328460200944175,-0.027434920305491536,-0.2978667717943839,0.058552165026922634,3.396862327993081,0.07752504047745368,0.2757623533875921,0.20860367548648143,-0.7075419839491413,-0.06008429609931221,93,0.2768838619730881
36,0.1,5,0.05,0.5,0.3,0.25,0.85,1.2,10,2016-01-31,2026-01-31,0.36993707134915943,0.03252781010489203,0.07237541774946704,0.17309482272362126,-0.1416038385802123,0.2297099459381284,0.6090332226225372,0.04955840609223339,0.17467737756900054,0.16921713906860844,-0.39922028638079654,-0.017030595987341357,55,0.27368101933918887
36,0.1,5,0.05,0.5,0.3,0.25,0.85,1.2,20,2006-01-31,2026-01-31,0.4539506337867043,0.01905067556964113,0.09609517337517455,-0.009879002212239332,-0.3009758651823343,0.0632963561981956,3.396862327993081,0.07752504047745368,0.2757623533875921,0.20860367548648143,-0.7075419839491413,-0.05847436490781255,99,0.28838046681460594
36,0.1,5,0.08,0.5,0.3,0.15,0.75,1.2,10,2016-01-31,2026-01-31,0.28037723869164655,0.025452913252199005,0.061926407666610145,0.08805473234545688,-0.13690352661609984,0.1859186091208095,0.6090332226225372,0.04955840609223339,0.17467737756900054,0.16921713906860844,-0.39922028638079654,-0.02410549284003438,42,0.21981117654115867
36,0.1,5,0.08,0.5,0.3,0.15,0.75,1.2,20,2006-01-31,2026-01-31,0.2874946869240922,0.012822600541960716,0.08535814521607372,-0.08408570078310129,-0.29862784044009494,0.04293839624284107,3.396862327993081,0.07752504047745368,0.2757623533875921,0.20860367548648143,-0.7075419839491413,-0.06470243993549296,79,0.24096355785193777
36,0.1,5,0.08,0.5,0.3,0.15,0.8,1.2,10,2016-01-31,2026-01-31,0.32326506802699284,0.02889454787999801,0.06390663721500066,0.1391803460112311,-0.1375098555587433,0.21012710516341465,0.6090332226225372,0.04955840609223339,0.17467737756900054,0.16921713906860844,-0.39922028638079654,-0.020663858212235375,46,0.23414485835055954
36,0.1,5,0.08,0.5,0.3,0.15,0.8,1.2,20,2006-01-31,2026-01-31,0.3176379710973427,0.014005100619998156,0.0885615732766075,-0.06769187987749226,-0.30411608182738703,0.04605182513152099,3.396862327993081,0.07752504047745368,0.2757623533875921,0.20860367548648143,-0.7075419839491413,-0.06351993985745552,82,0.25498344541218454
36,0.1,5,0.08,0.5,0.3,0.15,0.85,1.2,10,2016-01-31,2026-01-31,0.3252218208729529,0.029049169762657367,0.06526888507977108,0.1386444666796062,-0.1380294078598937,0.21045638181787776,0.6090332226225372,0.04955840609223339,0.17467737756900054,0.16921713906860844,-0.39922028638079654,-0.02050923632957602,44,0.24783525013621813
36,0.1,5,0.08,0.5,0.3,0.15,0.85,1.2,20,2006-01-31,2026-01-31,0.35689490614968467,0.015507189169864155,0.0903972396696399,-0.04970075244061645,-0.3162123282874836,0.04904043195863583,3.396862327993081,0.07752504047745368,0.2757623533875921,0.20860367548648143,-0.7075419839491413,-0.06201785130758952,79,0.2667115666871445
36,0.1,5,0.08,0.5,0.3,0.2,0.75,1.2,10,2016-01-31,2026-01-31,0.3049844226714631,0.027440010526593506,0.06525998714751205,0.11400570015094075,-0.13936987528600753,0.19688623865295538,0.6090332226225372,0.04955840609223339,0.17467737756900054,0.16921713906860844,-0.39922028638079654,-0.02211839556563988,43,0.23256995523152144
