month_end,gap_ma3,prev_gap_ma3,dyn_thr,trend_signal,pe_pct,val_weight,target_position,traded
2007-09-30,3.5866666666666673,3.666666666666668,-4.287999999999999,-1,1.0,0.0,0.0,False
2007-10-31,4.0133333333333345,3.5866666666666673,-4.287999999999999,1,1.0,0.0,0.0,False
2007-11-30,3.5266666666666686,4.0133333333333345,-4.287999999999999,-1,0.9006211180124224,0.0,0.0,False
2007-12-31,3.753333333333335,3.5266666666666686,-4.287999999999999,1,0.9322289156626506,0.0,0.0,False
2008-01-31,3.060000000000001,3.753333333333335,-4.287999999999999,-1,0.8119533527696793,0.0,0.0,False
2008-02-29,2.5066666666666664,3.060000000000001,-4.287999999999999,-1,0.7948717948717948,0.01118881118881139,0.0,False
2008-03-31,1.6666666666666654,2.5066666666666664,-4.287999999999999,-1,0.5712309820193637,0.4991324028668428,0.09982648057336857,True
2008-04-30,1.8166666666666653,1.6666666666666654,-4.287999999999999,1,0.581989247311828,0.47565982404692075,0.3805278592375366,True
2008-05-31,1.249999999999999,1.8166666666666653,-4.287999999999999,-1,0.5431937172774869,0.5603046168491196,0.11206092336982393,True
2008-06-30,-0.4033333333333342,1.249999999999999,-4.287999999999999,-1,0.4885204081632653,0.6795918367346939,0.11206092336982393,False
2008-07-31,-1.9033333333333342,-0.4033333333333342,-4.287999999999999,-1,0.48698884758364314,0.6829334234538695,0.11206092336982393,False
2008-08-31,-3.3633333333333337,-1.9033333333333342,-4.287999999999999,-1,0.40700483091787437,0.8574440052700923,0.17148880105401848,True
2008-09-30,-4.256666666666667,-3.3633333333333337,-4.335999999999999,-1,0.36717827626918537,0.9443383063217773,0.17148880105401848,False
2008-10-31,-5.516666666666666,-4.256666666666667,-4.76,-1,0.07958477508650519,1.2,0.24,True
2008-11-30,-6.676666666666667,-5.516666666666666,-5.2139999999999995,-1,0.1882750845546787,1.2,0.24,False
2008-12-31,-7.6433333333333335,-6.676666666666667,-5.362,-1,0.13406593406593406,1.2,0.24,False
2009-01-31,-9.623333333333333,-7.6433333333333335,-5.565999999999999,-1,0.29081081081081084,1.1109582309582309,0.24,False
2009-02-28,-10.159999999999998,-9.623333333333333,-5.771999999999999,-1,0.3513227513227513,0.9789321789321789,0.24,False
2009-03-31,-10.063333333333334,-10.159999999999998,-5.816666666666667,0,0.46328852119958636,0.7346432264736298,0.3673216132368149,True
2009-04-30,-8.850000000000001,-10.063333333333334,-5.870666666666668,0,0.5161943319838057,0.6192123665807876,0.3096061832903938,True
2009-05-31,-7.996666666666667,-8.850000000000001,-5.943333333333333,0,0.562624254473161,0.5179107175131034,0.2589553587565517,True
2009-06-30,-6.396666666666666,-7.996666666666667,-6.068666666666667,0,0.6293774319066148,0.37226742129465873,0.18613371064732936,True
2009-07-31,-4.256666666666667,-6.396666666666666,-6.068666666666667,1,0.6803044719314938,0.2611538794221954,0.18613371064732936,False
2009-08-31,-2.176666666666668,-4.256666666666667,-6.068666666666667,1,0.5494402985074627,0.5466757123473542,0.4373405698778834,True
2009-09-30,-0.8866666666666667,-2.176666666666668,-6.068666666666667,1,0.5795246800731262,0.48103706165863386,0.3848296493269071,True
2009-10-31,0.6666666666666666,-0.8866666666666667,-6.068666666666667,1,0.6189189189189189,0.3950859950859951,0.3160687960687961,True
2009-11-30,2.5666666666666687,0.6666666666666666,-6.068666666666667,1,0.649867374005305,0.32756209307933454,0.26204967446346766,True
2009-12-31,4.056666666666668,2.5666666666666687,-6.068666666666667,1,0.6750433275563258,0.2726327398771074,0.26204967446346766,False
2010-01-31,7.513333333333335,4.056666666666668,-6.068666666666667,1,0.5766609880749574,0.48728511692736576,0.38982809354189263,True
2010-02-28,9.040000000000001,7.513333333333335,-6.068666666666667,1,0.5870479394449117,0.4646226775747381,0.38982809354189263,False
2010-03-31,9.963333333333335,9.040000000000001,-6.068666666666667,1,0.514026402640264,0.623942394239424,0.4991539153915392,True
2010-04-30,8.893333333333334,9.963333333333335,-6.068666666666667,-1,0.40875912408759124,0.8536164565361646,0.17072329130723293,True
2010-05-31,8.703333333333333,8.893333333333334,-6.068666666666667,-1,0.32641660015961693,1.0332728723790177,0.17072329130723293,False
2010-06-30,8.256666666666666,8.703333333333333,-6.068666666666667,-1,0.2759433962264151,1.1433962264150943,0.22867924528301886,True
2010-07-31,6.766666666666665,8.256666666666666,-6.068666666666667,-1,0.35857805255023184,0.9631024307994941,0.22867924528301886,False
2010-08-31,4.699999999999998,6.766666666666665,-6.068666666666667,-1,0.34498480243161095,0.9927604310583034,0.22867924528301886,False
2010-09-30,3.3033333333333323,4.699999999999998,-6.068666666666667,-1,0.351310861423221,0.9789581205311542,0.22867924528301886,False
2010-10-31,2.47,3.3033333333333323,-6.002,-1,0.4848260547742413,0.6876522441289281,0.13753044882578563,True
2010-11-30,2.4366666666666674,2.47,-5.9460000000000015,-1,0.42388929351784416,0.8206051777792491,0.13753044882578563,False
2010-12-31,2.2900000000000014,2.4366666666666674,-5.9460000000000015,-1,0.4297994269340974,0.8077103412346965,0.13753044882578563,False
