dyn_window_months,dyn_quantile,pe_window_years,band,base_position,trend_sensitivity,cheap_threshold,expensive_threshold,max_weight,period_years,start_date,end_date,total_return,annualized_return,volatility,sharpe_ratio,max_drawdown,calmar_ratio,benchmark_return,benchmark_ann_return,benchmark_volatility,benchmark_sharpe,benchmark_max_dd,excess_return,num_trades,avg_position
60,0.2,12,0.05,0.5,0.3,0.15,0.75,1.2,20,2006-01-31,2026-01-31,0.5389651617780258,0.02197461163740755,0.09631964666699867,0.020500611305544744,-0.27669081675331453,0.07941937464805401,3.396862327993081,0.07752504047745368,0.2757623533875921,0.20860367548648143,-0.7075419839491413,-0.05555042884004613,100,0.2794015818803445
36,0.15,12,0.1,0.5,0.3,0.2,0.85,1.2,20,2006-01-31,2026-01-31,0.5452822967761473,0.022185712881066744,0.10696079054238825,0.020434711355284456,-0.3279077774697069,0.06765839179620046,3.396862327993081,0.07752504047745368,0.2757623533875921,0.20860367548648143,-0.7075419839491413,-0.055339327596386934,78,0.3322020412363984
84,0.15,12,0.03,0.5,0.3,0.25,0.75,1.2,20,2006-01-31,2026-01-31,0.5430868599373286,0.022112440494199026,0.10456310363358817,0.020202542013304004,-0.2871273465214772,0.07701265923322637,3.396862327993081,0.07752504047745368,0.2757623533875921,0.20860367548648143,-0.7075419839491413,-0.05541259998325465,114,0.3144632927257255
60,0.2,10,0.1,0.5,0.3,0.25,0.85,1.2,20,2006-01-31,2026-01-31,0.5454280949338124,0.022190575372489807,0.1087044322265017,0.02015166564621229,-0.3139096065187891,0.07069097253371756,3.396862327993081,0.07752504047745368,0.2757623533875921,0.20860367548648143,-0.7075419839491413,-0.05533446510496387,72,0.3281239944130307
60,0.1,12,0.1,0.5,0.3,0.25,0.85,1.2,20,2006-01-31,2026-01-31,0.5476580731037013,0.022264892790396562,0.11243873452018434,0.02014335006580834,-0.3215972233260965,0.0692322295575922,3.396862327993081,0.07752504047745368,0.2757623533875921,0.20860367548648143,-0.7075419839491413,-0.055260147687057115,75,0.3537719128355898
36,0.1,12,0.05,0.5,0.3,0.25,0.85,1.2,20,2006-01-31,2026-01-31,0.5474776442169824,0.022258883505039684,0.1128586486140825,0.02001515641715579,-0.30194742654458295,0.07371774536966663,3.396862327993081,0.07752504047745368,0.2757623533875921,0.20860367548648143,-0.7075419839491413,-0.05526615697241399,102,0.35069702407244835
84,0.15,12,0.05,0.5,0.3,0.2,0.75,1.2,20,2006-01-31,2026-01-31,0.5396210363861043,0.021996567401862954,0.10056305722854333,0.019853885282400282,-0.28266761281115127,0.07781778458135119,3.396862327993081,0.07752504047745368,0.2757623533875921,0.20860367548648143,-0.7075419839491413,-0.05552847307559072,101,0.2976337941390131
48,0.25,12,0.08,0.5,0.3,0.25,0.85,1.2,20,2006-01-31,2026-01-31,0.5444187802153586,0.022156904942025157,0.10894261055455454,0.019798542838709163,-0.305221708226602,0.07259282136503699,3.396862327993081,0.07752504047745368,0.2757623533875921,0.20860367548648143,-0.7075419839491413,-0.05536813553542852,80,0.3323098741361278
60,0.2,12,0.05,0.5,0.3,0.2,0.85,1.2,20,2006-01-31,2026-01-31,0.5419129493824255,0.02207322077196827,0.10517417986093995,0.019712259935941112,-0.30314246906339437,0.07281467634728617,3.396862327993081,0.07752504047745368,0.2757623533875921,0.20860367548648143,-0.7075419839491413,-0.055451819705485406,98,0.3209331813411191
36,0.2,12,0.08,0.5,0.3,0.25,0.8,1.2,20,2006-01-31,2026-01-31,0.5421961705295377,0.022082685633138643,0.10645434550913366,0.01956412040464756,-0.2999665027266093,0.07361717202558744,3.396862327993081,0.07752504047745368,0.2757623533875921,0.20860367548648143,-0.7075419839491413,-0.055442354844315034,82,0.32619184029338333
60,0.2,12,0.1,0.5,0.3,0.25,0.8,1.2,20,2006-01-31,2026-01-31,0.5424510788723349,0.0220912029081326,0.10771666451277086,0.01941392186243075,-0.3094680156850117,0.07138444617364874,3.396862327993081,0.07752504047745368,0.2757623533875921,0.20860367548648143,-0.7075419839491413,-0.055433837569321076,76,0.33178366921810115
60,0.1,12,0.05,0.5,0.3,0.25,0.85,1.2,20,2006-01-31,2026-01-31,0.5449231377518984,0.02217373276628143,0.11243529067207027,0.019333189368641878,-0.3019474265445834,0.07343574018839141,3.396862327993081,0.07752504047745368,0.2757623533875921,0.20860367548648143,-0.7075419839491413,-0.05535130771117225,100,0.35152361637633006
84,0.15,12,0.0,0.5,0.3,0.25,0.75,1.2,20,2006-01-31,2026-01-31,0.540593316102757,0.02202909866553715,0.10497631278933292,0.019329109697433903,-0.28665499161782326,0.07684882283475804,3.396862327993081,0.07752504047745368,0.2757623533875921,0.20860367548648143,-0.7075419839491413,-0.05549594181191653,239,0.315080704222556
36,0.1,12,0.05,0.5,0.3,0.25,0.75,1.2,20,2006-01-31,2026-01-31,0.5413469822563433,0.022054301982399327,0.1065846604154688,0.019273899024415172,-0.29168468503886047,0.07561007866923518,3.396862327993081,0.07752504047745368,0.2757623533875921,0.20860367548648143,-0.7075419839491413,-0.05547073849505435,98,0.32459678420203364
60,0.2,10,0.05,0.5,0.3,0.25,0.8,1.2,20,2006-01-31,2026-01-31,0.5410900473071052,0.022045711146953195,0.10616803671867973,0.0192686161502058,-0.29098829664020565,0.07576150450549479,3.396862327993081,0.07752504047745368,0.2757623533875921,0.20860367548648143,-0.7075419839491413,-0.05547932933050048,102,0.3128814425771605
60,0.2,12,0.03,0.5,0.3,0.2,0.8,1.2,20,2006-01-31,2026-01-31,0.5379911012680201,0.021941988022059045,0.10265013103691246,0.018918514788458626,-0.2923168925078825,0.07506233332535636,3.396862327993081,0.07752504047745368,0.2757623533875921,0.20860367548648143,-0.7075419839491413,-0.05558305245539463,122,0.30914110363006375
36,0.15,12,0.1,0.5,0.3,0.2,0.75,1.2,20,2006-01-31,2026-01-31,0.5367304414996514,0.021899736371744805,0.10077668477283419,0.018850951249558327,-0.31869807549937934,0.06871624918797935,3.396862327993081,0.07752504047745368,0.2757623533875921,0.20860367548648143,-0.7075419839491413,-0.05562530410570887,74,0.3003208644820562
48,0.25,12,0.08,0.5,0.3,0.25,0.8,1.2,20,2006-01-31,2026-01-31,0.539569314851438,0.0219948363175555,0.10643911255524725,0.01874157224413233,-0.2999665027266093,0.07332430827318637,3.396862327993081,0.07752504047745368,0.2757623533875921,0.20860367548648143,-0.7075419839491413,-0.05553020415989818,83,0.32329771105495597
